iter	Passed	Remaining
0	152	152150
1	156	78230
2	160	53436
3	167	41667
4	173	34511
5	178	29620
6	181	25801
7	185	22966
8	187	20664
9	190	18826
10	193	17394
11	197	16292
12	200	15235
13	208	14680
14	216	14237
15	220	13548
16	225	13039
17	230	12553
18	233	12063
19	238	11678
20	241	11241
21	247	11008
22	253	10759
23	255	10386
24	257	10048
25	259	9731
26	262	9451
27	265	9202
28	267	8965
29	272	8806
30	274	8584
31	281	8516
32	285	8372
33	288	8189
34	290	8008
35	293	7867
36	297	7740
37	300	7595
38	303	7478
39	307	7373
40	310	7262
41	313	7148
42	316	7050
43	317	6905
44	320	6802
45	327	6782
46	330	6700
47	334	6634
48	336	6535
49	340	6462
50	343	6394
51	348	6353
52	351	6279
53	353	6201
54	360	6196
55	365	6158
56	368	6103
57	374	6082
58	376	6007
59	379	5950
60	381	5866
61	387	5855
62	389	5799
63	392	5742
64	396	5703
65	397	5629
66	400	5582
67	402	5511
68	405	5471
69	409	5436
70	412	5400
71	415	5349
72	417	5300
73	420	5261
74	424	5238
75	429	5220
76	433	5194
77	436	5161
78	441	5141
79	447	5148
80	455	5162
81	469	5256
82	473	5227
83	482	5265
84	487	5245
85	496	5279
86	500	5256
87	503	5220
88	507	5190
89	510	5166
90	514	5136
91	517	5106
92	519	5065
93	523	5046
94	527	5028
95	532	5017
96	537	4999
97	551	5079
98	553	5034
99	567	5107
100	574	5113
101	581	5120
102	592	5161
103	599	5167
104	602	5135
105	604	5101
106	607	5070
107	609	5034
108	613	5014
109	617	4998
110	620	4972
111	623	4943
112	631	4953
113	633	4920
114	640	4925
115	643	4903
116	650	4907
117	652	4874
118	655	4850
119	662	4859
120	666	4843
121	669	4816
122	679	4843
123	683	4828
124	690	4835
125	693	4809
126	695	4783
127	700	4772
128	702	4744
129	704	4711
130	706	4685
131	709	4663
132	711	4638
133	716	4629
134	720	4616
135	725	4610
136	728	4590
137	732	4576
138	735	4553
139	739	4541
140	741	4517
141	744	4497
142	749	4489
143	751	4467
